Indicator,Disaggregation combinations using this value
#1-3-1,3
#1-4-1,6
#1-4-2,6
#1-5-1,1
#10-6-1,4
#10-7-3,1
#10-a-1,1
#11-1-1,1
#11-4-1,6
#11-5-1,1
#11-6-1,1
#12-3-1,8
#12-7-1,1
#12-c-1,3
#13-1-1,1
#14-1-1,5
#15-8-1,2
#15-9-1,2
#16-1-1,6
#16-2-3,2
#16-3-2,1
#16-4-2,1
#16-7-1,9
#16-8-1,4
#16-9-1,6
#17-10-1,2
#17-13-1,1
#17-19-1,1
#17-3-1,1
#2-2-2,2
#2-3-2,6
#2-5-1,1
#3-1-2,1
#3-5-2,1
#3-7-1,1
#3-a-1,3
#3-c-1,1
#4-1-2,162
#4-2-1,3
#4-5-1,135
#5-3-1,2
#5-3-2,1
#5-6-1,4
#5-6-2,18
#6-2-1,9
#7-2-1,1
#7-3-1,1
#9-1-2,2
#9-4-1,4
