Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-3-1,4
#1-4-2,2
#16-1-1,2
#16-2-2,6
#16-2-3,1
#16-3-2,1
#16-6-2,1
#16-7-1,9
#17-8-1,1
#2-1-2,4
#2-2-1,2
#2-2-2,2
#2-2-3,3
#2-2-4,2
#2-3-2,2
#3-1-1,1
#3-2-1,4
#3-3-1,4
#3-4-1,1
#3-4-2,1
#3-5-1,1
#3-7-1,1
#3-7-2,2
#3-8-2,1
#3-9-3,1
#3-a-1,1
#3-c-1,2
#4-1-1,2
#4-1-2,54
#4-2-1,1
#4-2-2,1
#4-3-1,3
#4-4-1,29
#4-5-1,27
#4-6-1,4
#4-c-1,5
#5-2-1,2
#5-3-1,2
#5-3-2,1
#5-4-1,54
#5-5-1,3
#5-5-2,4
#5-6-1,4
#5-a-1,1
#5-b-1,1
#8-10-2,1
#8-3-1,6
#8-5-1,11
#8-5-2,9
#8-6-1,2
#8-7-1,1
