Value,Disaggregation combinations using this value,Number of indicators
_U,4,1
M0,2,1
M12T15,1,1
M12T23,2,2
M16T19,1,1
M20T23,1,1
M24T35,1,1
M24T59,3,1
M36T47,1,1
M48T59,1,1
M6T11,1,1
M6T23,10,1
None,236,9
Y0,7,2
Y0T14,16,4
Y0T4,22,5
Y0T44,8,1
Y0T45,10,1
Y0T59,1,1
Y10T14,1,1
Y15T19,1,1
Y15T24,64,9
Y15T49,15,8
Y15T64,5,3
Y15T99,5,2
Y18T29,2,1
Y20T24,2,1
Y25T44,18,1
Y25T54,4,2
Y25T64,5,2
Y25T74,21,1
Y30T69,3,1
Y45T54,18,1
Y55T64,18,1
Y5T17,3,1
Y65T99,5,2
Y_GE15,127,15
Y_GE18,12,1
Y_GE25,7,2
Y_GE46,9,1
Y_GE50,3,1
Y_GE60,1,1
Y_GE65,20,3
Y_GE75,16,1
