Value,Disaggregation combinations using this value,Number of indicators
Alpine,25,1
Australia,1,1
Bangladesh,1,1
Cambodia,1,1
China,1,1
Coral Garden,1,1
Diani,1,1
Djibouti,1,1
Eldoret,5,4
Emali,1,1
Eritrea,1,1
Garissa,1,1
Gazi,1,1
Homa Bay,1,1
India,1,1
Indonesia,1,1
Iran (Islamic Republic of),1,1
Kajiado,1,1
Kenya,1,1
Kiambu,1,1
Kilifi bay,1,1
Kilifi,1,1
Kisumu,4,3
Kuruwitu,1,1
Lamu,1,1
Lamu_Iweni,1,1
Madagascar,1,1
Malaba,1,1
Malaysia,1,1
Malindi,1,1
Mauritius,1,1
Mayotte,1,1
Meru,4,3
Mombasa,5,4
Mombasa_Coral Garden,1,1
Mombasa_Nyali,1,1
Montane,25,1
Mozambique,1,1
Myanmar,1,1
Nairobi,6,5
Naivasha,1,1
Nakuru,4,3
Nyali,1,1
Nyeri,4,3
Oloitoktok,1,1
Oman,1,1
Pakistan,1,1
Philippines,1,1
Remaining mountain area,25,1
Rwanda,2,1
Réunion,1,1
Saudi Arabia,1,1
Shimoni,1,1
Shimoni_Chanjale,1,1
Shimoni_Wasini,1,1
Somalia,1,1
South Africa,1,1
South Sudan,2,1
Sri Lanka,1,1
Sudan,1,1
Thailand,1,1
Timor-Leste,1,1
Uganda,2,1
United Republic of Tanzania,3,2
Vanga,1,1
Viet Nam,1,1
Voi,1,1
Yemen,1,1
