Value,Disaggregation combinations using this value,Number of indicators
0.33,1,1
0.7,1,1
0.71585,1,1
1,1,1
102.7,1,1
11.3,1,1
1135.1,1,1
11.8,1,1
120.3,1,1
12.5,1,1
12.8,1,1
128,1,1
13,1,1
13002,1,1
13.6,1,1
13.9,1,1
1.3,1,1
14.1,1,1
14.3,1,1
15.1,1,1
1.65033,1,1
16,1,1
17,1,1
17.8,1,1
1.7,1,1
1.9,1,1
21.4,1,1
223.3,1,1
24.5,1,1
25.2,1,1
25.4,1,1
267.03683,1,1
28.5,1,1
286.3,1,1
2.9,1,1
29.42343,1,1
29.7,1,1
30.8,1,1
3.1,1,1
3.2,1,1
33.2,1,1
33.4,1,1
3.4,1,1
34.3,1,1
36,1,1
37.7,1,1
37.8,1,1
38.4,1,1
38.88917,1,1
38.9,1,1
40.73694,1,1
4.1,1,1
4.2,1,1
42.88775,1,1
42,1,1
43.94148,1,1
4.7,1,1
502.1,1,1
51.8,1,1
639.1,1,1
7.36,1,1
7.480,1,1
7.7,1,1
7.790,1,1
7.870,1,1
7.894,1,1
7.90606,1,1
7.918,1,1
7.95,1,1
7.970,1,1
8.010,1,1
8.012,1,1
8.020,2,1
8.170,1,1
8.180,1,1
