Value,Disaggregation combinations using this value,Number of indicators
2000-2010,1,1
2000-2018,2,1
2000-2021,8,1
2005,4,2
2006,2,1
2008,10,3
2009,8,4
2010-2020,12,3
2010-2021,4,1
2010-2022,30,1
2012,4,2
2014-2024,2,1
2014,4,2
2015-16,3,1
2015,88,5
2016-2018,2,1
2016,6,4
2017-2021,11,1
2017,50,4
2018-2019,7,1
2018-2021,1,1
2018-2022,8,2
2018,12,8
2019-2023,4,1
2019,146,27
2020-2023,5,2
2020-2024,5,1
2020,68,16
2021,322,33
2022,445,49
2023-2024,3,1
2023-2025,14,2
2023,380,74
2024,98,35
2025,19,2
31 December 2024,1,1
Q1 2022 - Q4 2022,2,1
