Value,Disaggregation combinations using this value,Number of indicators
0.48,1,1
0.81872,1,1
107.77422,1,1
13.6,1,1
1424.4,1,1
1.6,1,1
16851,1,1
18,1,1
197.4,1,1
20,1,1
21.8,1,1
22.2,1,1
228.9,1,1
2.3,1,1
23.7,1,1
24,1,1
25.7,1,1
27.4,1,1
31.0,1,1
31.8,1,1
32.8,1,1
338,1,1
3.44782,1,1
349.1,1,1
3.5,1,1
3.7,1,1
38.88917,1,1
3,1,1
40.73694,1,1
423.4,1,1
42.88775,1,1
43.94148,1,1
48.4,1,1
5,1,1
546.78882,1,1
55,1,1
55.3,1,1
5.6,1,1
60.1,1,1
637.7,1,1
6.4,1,1
6.8,1,1
6,1,1
7.903,1,1
794.3,1,1
7.989,1,1
8.010,1,1
8.040,2,1
8.049,1,1
8.065,1,1
8.06667,1,1
8.100,1,1
8.16,1,1
8.160,1,1
8.320,1,1
8.350,1,1
83.7,1,1
8.400,1,1
8.430,1,1
9.8,1,1
