Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,63.18451
2002,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,61.63811
2004,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,60.09171
2006,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,58.54531
2008,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,56.99891
2010,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,55.45251
2012,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,53.90611
2014,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,52.35971
2016,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,50.81331
2018,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,50.81331
2020,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,50.81331
2022,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,404,U,PT,2025-06-25T00:00:00,2022,40.49575
