Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,UNIT_MEASURE,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated.  Projected waste generation. (http://hdl.handle.net/10986/30317). Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","World Bank (2018). What A Waste Global Database, 2018 Edition.",EN_REF_WASCOL,404,C01,PT,Eldoret,2025-07-11T00:00:00,2018,45.0
2020,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated. Waste Wise Cities Tool (WaCT) uses a standardized, field-based methodology developed by UN-Habitat to assess the flow and management of municipal solid waste at the city level. It combines direct observation, interviews with stakeholders, and sampling techniques at households, transfer stations, and disposal sites to quantify the proportion of municipal waste that is collected and managed in controlled facilities. Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","Waste Wise Cities Tool (WaCT) Survey, United Nations Human Settlements Programme (UN-Habitat)",EN_REF_WASCOL,404,C02,PT,Kiambu,2025-07-11T00:00:00,2020,52.0
2020,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated. Waste Wise Cities Tool (WaCT) uses a standardized, field-based methodology developed by UN-Habitat to assess the flow and management of municipal solid waste at the city level. It combines direct observation, interviews with stakeholders, and sampling techniques at households, transfer stations, and disposal sites to quantify the proportion of municipal waste that is collected and managed in controlled facilities. Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","Waste Wise Cities Tool (WaCT) Survey, United Nations Human Settlements Programme (UN-Habitat)",EN_REF_WASCOL,404,C06,PT,Mombasa,2025-07-11T00:00:00,2020,56.0
2012,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated. Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","UNSD, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files). (Date of last update: 16 May 2023).",EN_REF_WASCOL,404,C07,PT,Nairobi,2025-07-11T00:00:00,2021,52.0
2014,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated. Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","UNSD, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files). (Date of last update: 16 May 2023).",EN_REF_WASCOL,404,C07,PT,Nairobi,2025-07-11T00:00:00,2021,45.2
2016,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated. Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","UNSD, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files). (Date of last update: 16 May 2023).",EN_REF_WASCOL,404,C07,PT,Nairobi,2025-07-11T00:00:00,2021,75.0
2017,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated. Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","UNSD, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files). (Date of last update: 16 May 2023).",EN_REF_WASCOL,404,C07,PT,Nairobi,2025-07-11T00:00:00,2021,75.2
2018,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated. Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","UNSD, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files). (Date of last update: 16 May 2023).",EN_REF_WASCOL,404,C07,PT,Nairobi,2025-07-11T00:00:00,2021,75.2
2019,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated. Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","UNSD, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files). (Date of last update: 16 May 2023).",EN_REF_WASCOL,404,C07,PT,Nairobi,2025-07-11T00:00:00,2021,75.2
2020,A,0,"Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSW collected as a proportion of total MSW generated. Designation and data provided by the country and compiled by UNHabitat. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries.","UNSD, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files). (Date of last update: 16 May 2023).",EN_REF_WASCOL,404,C07,PT,Nairobi,2025-07-11T00:00:00,2021,75.2
