Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.80056
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.84714
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,2.82722
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,2.73042
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,2.79886
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.03785
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.03005
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.70315
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.59602
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.61763
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.81881
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.5368
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.79993
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.90889
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.74288
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,4.20665
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,4.00636
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,3.70708
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,4.02828
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,4.19433
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,4.40362
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,4.15986
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,4.15553
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-03-21T00:00:00,2023,,4.04903
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.30491
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.2375
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.3211
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.24737
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.29069
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.38766
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.42226
