Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2015,A,0,Refinitiv,EN_SCP_FRMN,404,None,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2016,A,0,Refinitiv,EN_SCP_FRMN,404,None,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2017,A,0,Refinitiv,EN_SCP_FRMN,404,None,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2018,A,0,Refinitiv,EN_SCP_FRMN,404,None,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2019,A,0,Refinitiv,EN_SCP_FRMN,404,None,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2020,A,0,Refinitiv,EN_SCP_FRMN,404,None,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2021,A,0,Refinitiv,EN_SCP_FRMN,404,None,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2022,A,0,Refinitiv,EN_SCP_FRMN,404,None,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2023,A,0,Refinitiv,EN_SCP_FRMN,404,None,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,2
2015,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_J,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2016,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_J,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2017,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_J,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2018,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_J,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2019,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_J,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2020,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_J,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2021,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_J,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2022,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_J,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2023,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_J,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
2023,A,0,Refinitiv,EN_SCP_FRMN,404,ISIC4_K,NUMBER,2025-05-21T00:00:00,2023,Includes 2022 Sustainability Reports published after 1 March 2024,1
