Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.026883
2001,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.031391
2002,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.03257
2003,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.031785
2004,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.029116
2005,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.032533
2006,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.028854
2007,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.029084
2008,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.030927
2009,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.035489
2010,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.033794
2011,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.031397
2012,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.033111
2013,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.030906
2014,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.032162
2015,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.035653
2016,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.035482
2017,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.032402
2018,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.030957
2019,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.030717
2020,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.034186
2021,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.030218
2022,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.029773
2023,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,404,PT,2025-03-19T00:00:00,2023,0.030197
2000,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.065269
2001,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.073446
2002,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.064484
2003,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.063148
2004,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,404,PT,2025-03-19T00:00:00,2023,0.067606
