Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,0.3
2001,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,0.6
2002,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,1.2
2003,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,2.9
2004,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,3.0
2005,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,3.1
2006,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,3.6
2007,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,4.4
2008,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,5.2
2009,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,6.1
2010,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,7.2
2011,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,8.8
2012,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,10.5
2013,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,13.0
2014,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,16.5
2015,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,16.6
2016,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,16.6
2017,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,17.8
2018,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,19.5
2019,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,22.7
2023,A,0,Kenya National Bureau of Statistics,IT_USE_II99,404,None,PT,2025-03-08T00:00:00,2023,Aged 3 and older.,35.0
2009,A,0,KENYA NATIONAL BUREAU OF STATISTICS,IT_USE_II99,404,F,PT,2025-03-08T00:00:00,2019,Aged 3 and older.,5.2
2015,A,0,KENYA NATIONAL BUREAU OF STATISTICS,IT_USE_II99,404,F,PT,2025-03-08T00:00:00,2019,Aged 3 and older.,13.5
2019,A,0,KENYA NATIONAL BUREAU OF STATISTICS,IT_USE_II99,404,F,PT,2025-03-08T00:00:00,2019,Aged 3 and older.,20.2
2009,A,0,KENYA NATIONAL BUREAU OF STATISTICS,IT_USE_II99,404,M,PT,2025-03-08T00:00:00,2019,Aged 3 and older.,6.9
2015,A,0,KENYA NATIONAL BUREAU OF STATISTICS,IT_USE_II99,404,M,PT,2025-03-08T00:00:00,2019,Aged 3 and older.,19.8
2019,A,0,KENYA NATIONAL BUREAU OF STATISTICS,IT_USE_II99,404,M,PT,2025-03-08T00:00:00,2019,Aged 3 and older.,25.2
