Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,50.7
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,54.8
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,60.9
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,64.4
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,67.7
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,69.5
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,72.3
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,72.8
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,None,None,PT,2025-08-08T00:00:00,2023-2025,73.9
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,54.1
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,58.5
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,65.0
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,68.7
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,72.2
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,74.1
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,76.1
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,75.4
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,75.9
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,47.3
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,51.2
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,56.9
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,60.2
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,63.2
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,64.9
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,68.4
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,70.3
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,404,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,71.9
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,23870.8
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,26379.9
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,29966.0
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,32338.7
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,34652.5
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,36287.5
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,38465.0
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,39530.8
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,40899.4
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,7460.0
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,8319.0
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,9532.8
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,10386.6
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,11243.2
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,11891.4
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,12577.2
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,12828.7
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,13298.1
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,6403.6
