Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2014,A,0,41.1,30.8,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M12T15,None,None,PT,2025-09-18T00:00:00,2022,,43.3
2022,A,0,41.1,30.8,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M12T15,None,None,PT,2025-09-18T00:00:00,2022,,35.8
2014,A,0,44,37.8,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M12T23,None,None,PT,2025-09-18T00:00:00,2022,,41.6
2022,A,0,44,37.8,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M12T23,None,None,PT,2025-09-18T00:00:00,2022,,40.9
2014,A,0,50.2,38.4,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M16T19,None,None,PT,2025-09-18T00:00:00,2022,,41.7
2022,A,0,50.2,38.4,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M16T19,None,None,PT,2025-09-18T00:00:00,2022,,44.3
2014,A,0,49,37.7,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M20T23,None,None,PT,2025-09-18T00:00:00,2022,,39.4
2022,A,0,49,37.7,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M20T23,None,None,PT,2025-09-18T00:00:00,2022,,43.3
2014,A,0,34.7,25.4,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T11,None,None,PT,2025-09-18T00:00:00,2022,,26.3
2022,A,0,34.7,25.4,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T11,None,None,PT,2025-09-18T00:00:00,2022,,29.8
2014,A,0,39.6,34.3,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,None,PT,2025-09-18T00:00:00,2022,,36.3
2022,A,0,39.6,34.3,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,None,PT,2025-09-18T00:00:00,2022,,36.9
2014,A,0,19.7,12.8,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q1,PT,2025-09-18T00:00:00,2022,,18.2
2022,A,0,19.7,12.8,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q1,PT,2025-09-18T00:00:00,2022,,16.0
2014,A,0,34.5,25.2,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q2,PT,2025-09-18T00:00:00,2022,,25.8
2022,A,0,34.5,25.2,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q2,PT,2025-09-18T00:00:00,2022,,29.7
2014,A,0,39.7,29.7,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q3,PT,2025-09-18T00:00:00,2022,,33.7
2022,A,0,39.7,29.7,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q3,PT,2025-09-18T00:00:00,2022,,34.5
2014,A,0,52.3,38.9,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q4,PT,2025-09-18T00:00:00,2022,,50.7
2022,A,0,52.3,38.9,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q4,PT,2025-09-18T00:00:00,2022,,45.5
2014,A,0,68.2,51.8,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q5,PT,2025-09-18T00:00:00,2022,,57.7
2022,A,0,68.2,51.8,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,None,Q5,PT,2025-09-18T00:00:00,2022,,60.3
2014,A,0,33.5,28.5,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,R,None,PT,2025-09-18T00:00:00,2022,,28.3
2022,A,0,33.5,28.5,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,R,None,PT,2025-09-18T00:00:00,2022,,30.9
2014,A,0,53.5,42,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,U,None,PT,2025-09-18T00:00:00,2022,,50.4
2022,A,0,53.5,42,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,None,M6T23,U,None,PT,2025-09-18T00:00:00,2022,,47.7
2014,A,0,40.9,33.2,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,F,M6T23,None,None,PT,2025-09-18T00:00:00,2022,,36.1
2022,A,0,40.9,33.2,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,F,M6T23,None,None,PT,2025-09-18T00:00:00,2022,,37.0
2014,A,0,40.4,33.4,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,M,M6T23,None,None,PT,2025-09-18T00:00:00,2022,,36.5
2022,A,0,40.4,33.4,Kenya Demographic and Health Survey 2022,SH_MDD_CHLD,404,M,M6T23,None,None,PT,2025-09-18T00:00:00,2022,,36.9
2022,O,0,,,NA,SH_MDD_WMN_NPRG,404,F,Y15T49,None,None,PT,2025-09-18T00:00:00,2024,NaN = A figure was not provided,48.5
