Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,103.023848
2001,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,73.368082
2002,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,41.821609
2003,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,73.467796
2004,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,49.766272
2005,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,46.579596
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,102.30263
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,115.128487
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,126.364475
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,115.865954
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,145.15522
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,152.030897
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,160.945044
2013,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,206.599036
2014,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,204.908108
2015,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,213.666264
2016,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,215.577422
2017,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,224.477609
2018,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,229.674332
2019,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,673.502053
2020,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,722.392601
2021,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,371.323315
2022,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,265.330077
2023,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_AGRL,404,CON_USD,2025-05-19T00:00:00,2023,519.504959
