Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.7
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.3
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.0
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.7
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.4
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.1
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.9
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.6
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.2
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.1
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.9
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.7
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.6
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.5
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.0
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.88
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.76
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.64
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.61
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.57
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.48
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.4
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.31
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.9
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.7
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.6
