Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQEMP,404,PT,2025-02-25T00:00:00,2024,90.0
2020,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQEMP,404,PT,2025-02-25T00:00:00,2024,90.0
2022,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQEMP,404,PT,2025-02-25T00:00:00,2024,90.0
2024,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQEMP,404,PT,2025-02-25T00:00:00,2024,90.0
2018,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQLFP,404,PT,2025-02-25T00:00:00,2024,83.33333
2020,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQLFP,404,PT,2025-02-25T00:00:00,2024,83.33333
2022,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQLFP,404,PT,2025-02-25T00:00:00,2024,83.33333
2024,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQLFP,404,PT,2025-02-25T00:00:00,2024,83.33333
2018,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQMAR,404,PT,2025-02-25T00:00:00,2024,100.0
2020,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQMAR,404,PT,2025-02-25T00:00:00,2024,100.0
2022,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQMAR,404,PT,2025-02-25T00:00:00,2024,100.0
2024,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQMAR,404,PT,2025-02-25T00:00:00,2024,100.0
2018,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQVAW,404,PT,2025-02-25T00:00:00,2024,66.66667
2020,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQVAW,404,PT,2025-02-25T00:00:00,2024,66.66667
2022,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQVAW,404,PT,2025-02-25T00:00:00,2024,66.66667
2024,A,0,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women's Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.",UN Women,SG_LGL_GENEQVAW,404,PT,2025-02-25T00:00:00,2024,66.66667
