Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,-2.5
2001,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,1.2
2002,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,-2.5
2003,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,-0.2
2004,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,1.9
2005,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,2.7
2006,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,3.1
2007,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,3.7
2008,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,-2.8
2009,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,4.6
2010,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,5.0
2011,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,2.3
2012,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,1.8
2013,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,1.3
2014,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,2.6
2015,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,2.7
2016,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,2.0
2017,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,1.6
2018,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,3.5
2019,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,3.1
2020,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,-2.2
2021,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,5.6
2022,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,2.9
2023,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,404,PT,2025-03-13T00:00:00,2023,3.5
