Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,52.42
2008,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,40.55
2009,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,40.18
2010,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,34.04
2011,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,37.27
2012,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,42.89
2013,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,39.89
2014,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,41.19
2015,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,38.48
2016,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,40.02
2017,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,37.77
2018,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,38.62
2019,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,38.04
2020,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,39.83
2021,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,43.67
2022,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,None,PT,2025-03-21T00:00:00,2022,41.0
2016,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,F,PT,2025-03-21T00:00:00,2021,91.91
2017,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,F,PT,2025-03-21T00:00:00,2021,75.97
2018,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,F,PT,2025-03-21T00:00:00,2021,79.29
2019,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,F,PT,2025-03-21T00:00:00,2021,69.59
2020,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,F,PT,2025-03-21T00:00:00,2021,88.82
2021,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,F,PT,2025-03-21T00:00:00,2021,82.97
2016,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,M,PT,2025-03-21T00:00:00,2021,65.33
2017,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,M,PT,2025-03-21T00:00:00,2021,59.96
2018,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,M,PT,2025-03-21T00:00:00,2021,62.05
2019,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,M,PT,2025-03-21T00:00:00,2021,60.92
2020,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,M,PT,2025-03-21T00:00:00,2021,65.14
2021,A,0,UNODC calculations based on national data,VC_PRS_UNSNT,404,M,PT,2025-03-21T00:00:00,2021,77.24
