Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,26.6
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,26.4
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,26.0
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,25.6
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,25.2
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,24.8
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,24.5
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,24.1
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.9
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.7
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.6
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,404,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.6
