Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2001,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,8.109374
2002,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,2.664605
2004,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,3.530811
2006,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,2.757097
2007,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,2.350326
2010,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,3.560097
2012,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,2.067003
2013,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,3.444386
2014,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,2.029649
2018,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,1.343889
2019,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,0.794925
2020,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,0.65387
2021,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,0.966705
2022,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,0.727698
2023,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2023,0.618875
2001,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,135.65271
2002,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,114.18309
2004,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,120.48951
2006,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,106.312592
2007,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,102.964104
2010,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,110.775146
2012,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,100.734108
2013,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,98.616386
2014,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,95.67424
2018,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,75.187599
2019,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,51.007301
2020,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,43.587929
2021,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,51.333546
2022,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,46.09251
2023,A,0,Registration National Statistics & WPP2024,SP_DYN_ADKL,404,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2023,45.809792
