Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,None,PT,2025-12-11T00:00:00,2015,34.69
2015,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,None,PT,2025-12-11T00:00:00,2015,26.38
2005,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,HH_ADTONLY,PT,2025-12-11T00:00:00,2015,3.74
2015,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,HH_ADTONLY,PT,2025-12-11T00:00:00,2015,6.1
2005,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,HH_ADTWCHLDADO,PT,2025-12-11T00:00:00,2015,34.29
2015,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,HH_ADTWCHLDADO,PT,2025-12-11T00:00:00,2015,31.06
2005,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,HH_ADTWOLDER,PT,2025-12-11T00:00:00,2015,19.86
2015,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,HH_ADTWOLDER,PT,2025-12-11T00:00:00,2015,20.05
2005,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,HH_MULTIGEN,PT,2025-12-11T00:00:00,2015,44.4
2015,A,0,"Survey-based estimate, using household total consumption expenditure in the denominator",Kenya - Integrated Household Budget Survey 2015-2016,SH_OOP_XPD_EARNNET40,404,None,None,None,None,HH_MULTIGEN,PT,2025-12-11T00:00:00,2015,40.41
