Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,None,ISCED11_1,SKILL_MATH,PT,2025-12-04T00:00:00,2023,79.7
2021,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,None,ISCED11_1,SKILL_MATH,PT,2025-12-04T00:00:00,2023,74.1
2023,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,None,ISCED11_1,SKILL_MATH,PT,2025-12-04T00:00:00,2023,36.9
2021,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,None,ISCED11_1,SKILL_READ,PT,2025-12-04T00:00:00,2023,46.7
2023,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,None,ISCED11_1,SKILL_READ,PT,2025-12-04T00:00:00,2023,25.5
2019,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,F,ISCED11_1,SKILL_MATH,PT,2025-12-04T00:00:00,2023,78.4
2021,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,F,ISCED11_1,SKILL_MATH,PT,2025-12-04T00:00:00,2023,74.6
2023,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,F,ISCED11_1,SKILL_MATH,PT,2025-12-04T00:00:00,2023,37.9
2021,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,F,ISCED11_1,SKILL_READ,PT,2025-12-04T00:00:00,2023,48.4
2023,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,F,ISCED11_1,SKILL_READ,PT,2025-12-04T00:00:00,2023,27.2
2019,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,M,ISCED11_1,SKILL_MATH,PT,2025-12-04T00:00:00,2023,82.8
2021,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,M,ISCED11_1,SKILL_MATH,PT,2025-12-04T00:00:00,2023,73.5
2023,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,M,ISCED11_1,SKILL_MATH,PT,2025-12-04T00:00:00,2023,36.0
2021,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,M,ISCED11_1,SKILL_READ,PT,2025-12-04T00:00:00,2023,44.9
2023,A,0,Assessments for Minimum Proficiency Levels (AMPL). Grade 6 Data extracted on 31 October 2025.,SE_TOT_PRFL,404,M,ISCED11_1,SKILL_READ,PT,2025-12-04T00:00:00,2023,23.9
