Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,None,Y15T24,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,92.53
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,None,Y15T99,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,82.23
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,None,Y25T64,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,79.45
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,None,Y65T99,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,36.85
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,F,Y15T24,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,91.94
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,F,Y15T99,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,77.89
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,F,Y25T64,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,72.46
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,F,Y65T99,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,23.24
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,M,Y15T24,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,93.31
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,M,Y15T99,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,87.49
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,M,Y25T64,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,87.76
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_LITR,404,M,Y65T99,SKILL_LTRCY,PT,2025-12-11T00:00:00,2000,47.3
