Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHE,404,PT,2022-03-22T00:00:00,2022,48
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC1,404,PT,2022-03-22T00:00:00,2022,100
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC10,404,PT,2022-03-22T00:00:00,2022,60
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC11,404,PT,2022-03-22T00:00:00,2022,60
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC12,404,PT,2022-03-22T00:00:00,2022,60
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC13,404,PT,2022-03-22T00:00:00,2022,100
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC2,404,PT,2022-03-22T00:00:00,2022,100
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC3,404,PT,2022-03-22T00:00:00,2022,25
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC4,404,PT,2022-03-22T00:00:00,2022,100
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC5,404,PT,2022-03-22T00:00:00,2022,20
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC6,404,PT,2022-03-22T00:00:00,2022,0
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC7,404,PT,2022-03-22T00:00:00,2022,0
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC8,404,PT,2022-03-22T00:00:00,2022,0
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHEC9,404,PT,2022-03-22T00:00:00,2022,0
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHES1,404,PT,2022-03-22T00:00:00,2022,81
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHES2,404,PT,2022-03-22T00:00:00,2022,7
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHES3,404,PT,2022-03-22T00:00:00,2022,0
2022,A,0,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",SH_LGR_ACSRHES4,404,PT,2022-03-22T00:00:00,2022,70
