Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,1.7
2001,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,2.1
2002,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,2.5
2003,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,3.0
2004,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,3.4
2005,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,3.9
2006,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,4.5
2007,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,5.1
2008,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,5.8
2009,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,6.4
2010,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,7.1
2011,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,7.9
2012,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,8.8
2013,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,9.9
2014,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,11.2
2015,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,12.6
2016,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,14.2
2017,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,16.1
2018,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,18.0
2019,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,20.6
2020,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,23.05
2021,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,25.8
2022,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,28.5
2023,A,0,48.4,17,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,None,PT,2025-06-18T00:00:00,2023,31.6
