Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.07
2001,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.95
2002,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.0
2003,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.89
2004,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.98
2005,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.9
2006,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.84
2007,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.63
2008,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.76
2009,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.9
2010,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.65
2011,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.58
2012,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.4
2013,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.43
2014,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.55
2015,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.73
2016,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.66
2017,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.64
2018,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.54
2019,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.39
2020,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.41
2021,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.22
2022,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,404,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.12
