Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2011,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,404,None,PT,2024-03-13T00:00:00,2023,,13.1
2015,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,404,None,PT,2024-03-13T00:00:00,2023,,8.83
2017,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,404,None,PT,2024-03-13T00:00:00,2023,,7.93
2018,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,404,None,PT,2024-03-13T00:00:00,2023,,8.36
2019,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,404,None,PT,2024-03-13T00:00:00,2023,,7.68
2020,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,404,None,PT,2024-03-13T00:00:00,2023,,8.45
2021,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,404,None,PT,2024-03-13T00:00:00,2023,,9.24
2022,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,404,None,PT,2024-03-13T00:00:00,2023,,7.47
2023,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST,404,None,PT,2024-03-13T00:00:00,2023,,8.75
2016,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,10.55
2017,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,7.06
2018,A,0,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_BC,404,C646,PT,2024-03-13T00:00:00,2023,Rwanda,11.56
