Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2011,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.00422
2012,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.00596
2013,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.00193
2015,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.42356
2016,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.44408
2017,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.3919
2018,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.16665
2019,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.09359
2021,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.04401
2022,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,404,USD,2025-12-10T00:00:00,2022,0.06774
