Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,World Bank Development Data Group,IQ_SPI_PIL4,404,IX,2025-05-19T00:00:00,2023,34.24167
2017,A,0,World Bank Development Data Group,IQ_SPI_PIL4,404,IX,2025-05-19T00:00:00,2023,34.79167
2018,A,0,World Bank Development Data Group,IQ_SPI_PIL4,404,IX,2025-05-19T00:00:00,2023,34.09167
2019,A,0,World Bank Development Data Group,IQ_SPI_PIL4,404,IX,2025-05-19T00:00:00,2023,42.425
2020,A,0,World Bank Development Data Group,IQ_SPI_PIL4,404,IX,2025-05-19T00:00:00,2023,46.375
2021,A,0,World Bank Development Data Group,IQ_SPI_PIL4,404,IX,2025-05-19T00:00:00,2023,48.075
2022,A,0,World Bank Development Data Group,IQ_SPI_PIL4,404,IX,2025-05-19T00:00:00,2023,46.475
2023,A,0,World Bank Development Data Group,IQ_SPI_PIL4,404,IX,2025-05-19T00:00:00,2023,46.475
2016,A,0,World Bank Development Data Group,IQ_SPI_PIL5,404,IX,2025-05-19T00:00:00,2023,45.0
2017,A,0,World Bank Development Data Group,IQ_SPI_PIL5,404,IX,2025-05-19T00:00:00,2023,40.0
2018,A,0,World Bank Development Data Group,IQ_SPI_PIL5,404,IX,2025-05-19T00:00:00,2023,40.0
2019,A,0,World Bank Development Data Group,IQ_SPI_PIL5,404,IX,2025-05-19T00:00:00,2023,45.0
2020,A,0,World Bank Development Data Group,IQ_SPI_PIL5,404,IX,2025-05-19T00:00:00,2023,40.0
2021,A,0,World Bank Development Data Group,IQ_SPI_PIL5,404,IX,2025-05-19T00:00:00,2023,65.0
2022,A,0,World Bank Development Data Group,IQ_SPI_PIL5,404,IX,2025-05-19T00:00:00,2023,70.0
2023,A,0,World Bank Development Data Group,IQ_SPI_PIL5,404,IX,2025-05-19T00:00:00,2023,70.0
2022,A,0,Open Data Inventory (ODIN) 2024/2025,SG_STT_ODIN,404,IX,2025-04-29T00:00:00,2024,55.5
2024,A,0,Open Data Inventory (ODIN) 2024/2025,SG_STT_ODIN,404,IX,2025-04-29T00:00:00,2024,60.6
