Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,5,4.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,404,None,Y0T4,PT,2025-03-27T00:00:00,2022,7.4
2003,A,0,5,4.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,404,None,Y0T4,PT,2025-03-27T00:00:00,2022,6.2
2005,A,0,5,4.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,404,None,Y0T4,PT,2025-03-27T00:00:00,2022,6.9
2008,A,0,5,4.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,404,None,Y0T4,PT,2025-03-27T00:00:00,2022,6.9
2011,A,0,5,4.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,404,None,Y0T4,PT,2025-03-27T00:00:00,2022,6.0
2014,A,0,5,4.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,404,None,Y0T4,PT,2025-03-27T00:00:00,2022,4.2
2016,A,0,5,4.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,404,None,Y0T4,PT,2025-03-27T00:00:00,2022,6.7
2022,A,0,5,4.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,404,None,Y0T4,PT,2025-03-27T00:00:00,2022,4.5
2000,A,3,349.1,286.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2022,393.1
2003,A,3,349.1,286.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2022,360.4
2005,A,3,349.1,286.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2022,424.2
2008,A,3,349.1,286.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2022,458.4
2011,A,3,349.1,286.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2022,422.9
2014,A,3,349.1,286.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2022,296.7
2016,A,3,349.1,286.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2022,467.0
2022,A,3,349.1,286.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2022,314.2
2000,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,7.0
2001,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,7.1
2002,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,7.1
2003,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,7.1
2004,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,7.1
2005,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,6.9
2006,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,6.7
2007,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,6.5
2008,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,6.2
2009,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,5.9
2010,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,5.6
2011,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,5.3
2012,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,5.0
2013,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,4.7
2014,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,4.5
2015,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,4.2
2016,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,4.0
2017,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,3.9
2018,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,3.8
2019,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,3.7
2020,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,3.7
2021,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,3.7
2022,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,3.8
2023,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,4.0
2024,A,0,6,3.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,None,Y0T4,PT,2025-03-28T00:00:00,2024,4.3
2000,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,6.5
2001,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,6.6
2002,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,6.7
2003,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,6.7
2004,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,6.6
2005,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,6.5
2006,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,6.3
2007,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,6.1
2008,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,5.8
2009,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,5.5
2010,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,5.2
2011,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,4.9
2012,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,4.7
2013,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,4.4
2014,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,4.2
2015,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,4.0
2016,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,3.8
2017,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,3.6
2018,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,3.5
2019,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,3.4
2020,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,3.4
2021,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,3.5
2022,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,3.6
2023,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,3.8
2024,A,0,5.6,2.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,F,Y0T4,PT,2025-03-28T00:00:00,2024,4.0
2000,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,7.4
2001,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,7.6
2002,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,7.6
2003,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,7.6
2004,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,7.6
2005,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,7.4
2006,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,7.2
2007,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,6.9
2008,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,6.6
2009,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,6.3
2010,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,6.0
2011,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,5.7
2012,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,5.4
2013,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,5.1
2014,A,0,6.4,3.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,404,M,Y0T4,PT,2025-03-28T00:00:00,2024,4.8
