Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,63.8
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,61.2
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,58.3
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,55.5
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,52.5
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,49.4
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,46.9
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,44.9
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,42.4
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,41.9
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,41.4
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,41.1
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,41.3
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,40.9
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,40.1
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,39.1
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,38.7
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,38.5
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,37.8
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,37.2
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,36.9
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,36.4
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,35.8
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,34.7
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,57.8
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,55.3
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,52.6
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,49.9
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,47.1
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,44.2
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,41.8
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,40.0
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,37.7
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,37.2
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,36.8
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,36.5
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,36.7
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,36.4
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,35.7
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,34.8
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,34.4
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,34.3
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,33.7
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,33.1
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,32.9
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,32.4
