Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_AGP_LITR,404,None,Y15T24,None,None,None,SKILL_LTRCY,RO,2025-12-11T00:00:00,2000,0.99
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_AGP_LITR,404,None,Y15T99,None,None,None,SKILL_LTRCY,RO,2025-12-11T00:00:00,2000,0.89
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_AGP_LITR,404,None,Y25T64,None,None,None,SKILL_LTRCY,RO,2025-12-11T00:00:00,2000,0.83
2000,A,0,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.,Source: Multiple Indicator Cluster Survey (UNICEF MICS2) Data extracted on 31 October 2025.,SE_ADT_AGP_LITR,404,None,Y65T99,None,None,None,SKILL_LTRCY,RO,2025-12-11T00:00:00,2000,0.49
2022,A,0,,Kenya  DHS 2022. A literacy test was administered to women aged 15-49 and men 15-54 whose highest level of educational attendance was upper secondary schooling or lower. Data extracted on 31 October 2025.,SE_ADT_AWP_LITR,404,None,Y15T24,None,None,None,SKILL_LTRCY,RO,2025-12-11T00:00:00,2022,0.89
2022,A,0,,Kenya  DHS 2022. A literacy test was administered to women aged 15-49 and men 15-54 whose highest level of educational attendance was upper secondary schooling or lower. Literacy status was imputed via a statistical model for older age groups not covered by the assessment. Data extracted on 31 October 2025.,SE_ADT_AWP_LITR,404,None,Y15T99,None,None,None,SKILL_LTRCY,RO,2025-12-11T00:00:00,2022,0.66
2022,A,0,,Kenya  DHS 2022. A literacy test was administered to women aged 15-49 and men 15-54 whose highest level of educational attendance was upper secondary schooling or lower. Literacy status was imputed via a statistical model for older age groups not covered by the assessment. Data extracted on 31 October 2025.,SE_ADT_AWP_LITR,404,None,Y25T64,None,None,None,SKILL_LTRCY,RO,2025-12-11T00:00:00,2022,0.62
2022,A,0,,Kenya  DHS 2022. A literacy test was administered to women aged 15-49 and men 15-54 whose highest level of educational attendance was upper secondary schooling or lower. Literacy status was imputed via a statistical model for older age groups not covered by the assessment. Data extracted on 31 October 2025.,SE_ADT_AWP_LITR,404,None,Y65T99,None,None,None,SKILL_LTRCY,RO,2025-12-11T00:00:00,2022,0.27
2000,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.12819
2003,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.11006
2008,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.08455
2009,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.12797
2014,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.06309
2019,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.08074
2020,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.09363
2021,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.09075
2022,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.05837
2024,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.04664
2000,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.15669
2003,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.14928
2008,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.049
2009,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.12998
2014,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.11761
2019,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.10221
2020,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.10453
2021,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.11086
2022,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.06714
2024,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_2,None,RO,2025-12-04T00:00:00,2024,1.0576
2000,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,0.8496
2003,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,0.86452
2008,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,0.83649
2009,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,0.96697
2014,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,0.8488
2019,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,1.02182
2020,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,1.0332
2021,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,1.03848
2022,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,1.06759
2024,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,None,ISCED11_3,None,RO,2025-12-04T00:00:00,2024,0.99123
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.17726
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,0.92388
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.06054
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.12495
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,0.99095
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,0.9607
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.04035
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.00644
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.16744
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.24186
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.39222
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q1,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.77163
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q2,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.09042
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q2,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.13605
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q2,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.07536
