Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,1.0798
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,1.084309
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,4.143752
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,6.293197
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,4.08235
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,6.925533
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,6.761821
2013,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,8.51392
2014,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,6.122559
2015,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,8.624295
2016,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,5.743144
2017,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,9.039387
2018,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,8.435821
2019,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,12.209247
2020,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,12.50252
2021,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,8.786946
2022,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,10.543984
2023,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,404,CON_USD,2025-05-19T00:00:00,2023,10.825448
