Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,18.37885
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,17.80468
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,17.23316
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,16.66435
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,16.09834
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,15.53553
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,14.97565
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,14.41877
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,13.86498
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,13.31463
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,12.7675
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,12.22298
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,11.68136
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,11.14253
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,10.60689
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,10.07448
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,9.54543
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,9.01991
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,8.49797
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,7.97997
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,7.46587
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,6.95591
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,None,PT,2023-09-12T00:00:00,2022,6.45018
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,R,PT,2023-09-12T00:00:00,2022,22.1796
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,R,PT,2023-09-12T00:00:00,2022,21.56833
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,R,PT,2023-09-12T00:00:00,2022,20.95706
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,R,PT,2023-09-12T00:00:00,2022,20.34579
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,R,PT,2023-09-12T00:00:00,2022,19.73452
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,404,R,PT,2023-09-12T00:00:00,2022,19.12324
