Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,12.86
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,14.95
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,17.04
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,19.13
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,20.18
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,21.24
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,22.3
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,23.36
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,24.41
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,25.47
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,26.53
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,26.53
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,26.54
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,26.54
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,26.54
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,26.55
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,33.24
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,33.24
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,33.24
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,33.24
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,33.24
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,33.24
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,None,PT,2025-03-21T00:00:00,2018-2022,33.24
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,8.33
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,10.36
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,12.39
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,14.43
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,14.61
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,14.8
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,14.98
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,15.17
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,15.35
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,15.54
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,15.72
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,15.72
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,15.73
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,15.73
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,15.73
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,15.73
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,26.66
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,26.66
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,26.66
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,26.66
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,26.66
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,26.66
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,26.66
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,0.79
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,0.8
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,0.81
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,0.82
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,0.85
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,0.88
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,0.91
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,0.94
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,0.97
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,1.0
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,1.03
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,1.03
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,404,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,1.03
