Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.82645
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.86918
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,2.84022
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,2.73975
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,2.80518
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.0418
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.03179
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.70319
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.59424
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.61365
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.8114
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.5266
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.78586
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.892
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.72503
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,4.18548
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.98596
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,3.68827
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,4.00792
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,4.21972
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,4.40522
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,4.16513
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,4.16059
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,4.05366
2024,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,None,T,2025-12-09T00:00:00,2024,,4.08806
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.34627
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.42747
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.37898
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.37825
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.39643
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.53025
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.46825
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,3.00526
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.96468
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.84072
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.90905
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.81851
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.8268
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.73332
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.67394
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.70794
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.64539
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.49276
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.59837
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.75613
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,3.00609
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.7184
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.69587
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.60706
2024,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF1,T,2025-12-09T00:00:00,2024,,2.60681
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.03659
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.04577
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.0467
