Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
1992,A,0,2021,"Accessed June 5, 2025. Based on data from KCHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,None,PT,2025-08-11T00:00:00,2021,32.0
1994,A,0,2021,"Accessed June 5, 2025. Based on data from KCHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,None,PT,2025-08-11T00:00:00,2021,32.0
1997,A,0,2021,"Accessed June 5, 2025. Based on data from KCHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,None,PT,2025-08-11T00:00:00,2021,32.6
2005,A,0,2021,"Accessed June 5, 2025. Based on data from KCHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,None,PT,2025-08-11T00:00:00,2021,44.6
2015,A,0,2021,"Accessed June 5, 2025. Based on data from KCHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,None,PT,2025-08-11T00:00:00,2021,37.7
2020,A,0,2021,"Accessed June 5, 2025. Based on data from KCHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,None,PT,2025-08-11T00:00:00,2021,44.4
2021,A,0,2021,"Accessed June 5, 2025. Based on data from KCHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,None,PT,2025-08-11T00:00:00,2021,46.4
2005,A,0,2021,"Accessed June 5, 2025. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,R,PT,2025-08-11T00:00:00,2021,52.0
2015,A,0,2021,"Accessed June 5, 2025. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,R,PT,2025-08-11T00:00:00,2021,49.25431
2021,A,0,2021,"Accessed June 5, 2025. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,404,None,None,R,PT,2025-08-11T00:00:00,2021,58.03931
