Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.757411
2001,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.637307
2002,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.530792
2003,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.952584
2004,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.655796
2005,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.673576
2006,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.719592
2007,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.519566
2008,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.568851
2009,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.597373
2010,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.678537
2011,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.736424
2012,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.604938
2013,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.531149
2014,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.516914
2015,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.495448
2016,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.32726
2017,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.419207
2018,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.28229
2019,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.313593
2020,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.262839
2021,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.239819
2022,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.253388
2023,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,404,PT,2025-05-19T00:00:00,2023,0.260726
