Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2010,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.37721
2011,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.42852
2012,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.46378
2013,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.44209
2014,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.46646
2015,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.49999
2016,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.52689
2017,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.51088
2018,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.58012
2019,A,0,WHO,EN_ATM_PM25,404,None,GPERM3,2023-02-27T00:00:00,2019,12.52415
2010,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,9.94006
2011,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,9.97743
2012,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,9.97117
2013,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,9.96375
2014,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,9.9834
2015,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,10.00024
2016,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,9.99053
2017,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,10.03891
2018,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,10.02404
2019,A,0,WHO,EN_ATM_PM25,404,CITY,GPERM3,2023-02-27T00:00:00,2019,10.00684
2010,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.51193
2011,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.56522
2012,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.61395
2013,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.58374
2014,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.61256
2015,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.63936
2016,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.68322
2017,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.65372
2018,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.74626
2019,A,0,WHO,EN_ATM_PM25,404,R,GPERM3,2023-02-27T00:00:00,2019,12.68054
2010,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.05383
2011,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.12448
2012,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.17707
2013,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.17475
2014,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.20613
2015,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.28144
2016,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.3151
2017,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.28819
2018,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.39018
2019,A,0,WHO,EN_ATM_PM25,404,TSUB,GPERM3,2023-02-27T00:00:00,2019,14.33627
2010,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.21847
2011,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.26698
2012,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.28578
2013,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.27364
2014,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.29207
2015,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.33296
2016,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.33872
2017,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.33814
2018,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.37824
2019,A,0,WHO,EN_ATM_PM25,404,U,GPERM3,2023-02-27T00:00:00,2019,12.3332
