Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,100.0
2007,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,100.0
2008,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,100.0
2009,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,90.19473
2010,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,91.14524
2011,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,85.89134
2012,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,77.2716
2013,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,90.3417
2014,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,93.88471
2015,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,90.82922
2016,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,88.71442
2017,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,94.05736
2018,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,89.92806
2019,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,93.7318
2020,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,91.94907
2021,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,73.69668
2022,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,84.5712
2023,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,77.4538
2024,A,0,data provided by WB Economists,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,404,PT,2025-03-20T00:00:00,2024,86.237
