Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,451
2001,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,499
2002,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,534
2003,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,610
2004,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,634
2005,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,630
2006,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,646
2007,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,618
2008,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,564
2009,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,566
2010,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,531
2011,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,506
2012,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,471
2013,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,443
2014,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,423
2015,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,380
2016,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,348
2017,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,319
2018,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,292
2019,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,267
2020,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,251
2021,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,253
2022,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,338,128,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,404,PER_100000_POP,2025-01-17T00:00:00,2023,245
