Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,6.8,3.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,None,PER_100000_POP,2025-03-13T00:00:00,2021,4.5
2005,A,0,6.8,3.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,None,PER_100000_POP,2025-03-13T00:00:00,2021,4.9
2010,A,0,6.8,3.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,None,PER_100000_POP,2025-03-13T00:00:00,2021,5.9
2015,A,0,6.8,3.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,None,PER_100000_POP,2025-03-13T00:00:00,2021,5.1
2019,A,0,6.8,3.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,None,PER_100000_POP,2025-03-13T00:00:00,2021,6.5
2020,A,0,6.8,3.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,None,PER_100000_POP,2025-03-13T00:00:00,2021,5.6
2021,A,0,6.8,3.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,None,PER_100000_POP,2025-03-13T00:00:00,2021,4.6
2000,A,0,3.7,1.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,F,PER_100000_POP,2025-03-13T00:00:00,2021,2.5
2005,A,0,3.7,1.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,F,PER_100000_POP,2025-03-13T00:00:00,2021,2.3
2010,A,0,3.7,1.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.7
2015,A,0,3.7,1.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.5
2019,A,0,3.7,1.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.5
2020,A,0,3.7,1.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,F,PER_100000_POP,2025-03-13T00:00:00,2021,2.8
2021,A,0,3.7,1.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,F,PER_100000_POP,2025-03-13T00:00:00,2021,2.5
2000,A,0,9.8,4.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,M,PER_100000_POP,2025-03-13T00:00:00,2021,6.6
2005,A,0,9.8,4.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,M,PER_100000_POP,2025-03-13T00:00:00,2021,7.5
2010,A,0,9.8,4.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,M,PER_100000_POP,2025-03-13T00:00:00,2021,8.1
2015,A,0,9.8,4.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,M,PER_100000_POP,2025-03-13T00:00:00,2021,6.6
2019,A,0,9.8,4.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,M,PER_100000_POP,2025-03-13T00:00:00,2021,9.5
2020,A,0,9.8,4.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,M,PER_100000_POP,2025-03-13T00:00:00,2021,8.4
2021,A,0,9.8,4.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,404,M,PER_100000_POP,2025-03-13T00:00:00,2021,6.7
