Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y15T24,PT,2025-03-05T00:00:00,2021,49.8
2016,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y15T24,PT,2025-03-05T00:00:00,2021,54.42302
2019,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y15T24,PT,2025-03-05T00:00:00,2021,58.05509
2021,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y15T24,PT,2025-03-05T00:00:00,2021,58.37259
2005,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y15T64,PT,2025-03-05T00:00:00,2021,21.7
2016,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y15T64,PT,2025-03-05T00:00:00,2021,21.36736
2019,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y15T64,PT,2025-03-05T00:00:00,2021,20.66378
2021,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y15T64,PT,2025-03-05T00:00:00,2021,21.03037
2005,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y25T54,PT,2025-03-05T00:00:00,2021,2.0
2016,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y25T54,PT,2025-03-05T00:00:00,2021,2.74633
2019,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y25T54,PT,2025-03-05T00:00:00,2021,1.32426
2021,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y25T54,PT,2025-03-05T00:00:00,2021,1.40463
2005,A,0,UIS based on UIS based on KEN - HIES - Household Budget Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y55T64,PT,2025-03-05T00:00:00,2016,0.0
2016,A,0,UIS based on UIS based on KEN - HIES - Household Budget Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,None,Y55T64,PT,2025-03-05T00:00:00,2016,0.24074
2005,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,F,Y15T24,PT,2025-03-05T00:00:00,2021,45.3
2016,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,F,Y15T24,PT,2025-03-05T00:00:00,2021,49.63638
2019,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,F,Y15T24,PT,2025-03-05T00:00:00,2021,54.71956
2021,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,F,Y15T24,PT,2025-03-05T00:00:00,2021,53.88688
2005,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,F,Y15T64,PT,2025-03-05T00:00:00,2021,19.2
2016,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,F,Y15T64,PT,2025-03-05T00:00:00,2021,19.0943
2019,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,F,Y15T64,PT,2025-03-05T00:00:00,2021,19.04643
2021,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,F,Y15T64,PT,2025-03-05T00:00:00,2021,18.88023
2005,A,0,UIS based on UIS based on KEN - HS - Continuous household survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,404,F,Y25T54,PT,2025-03-05T00:00:00,2021,1.5
