Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2018,A,0,Administrative data on 2017 election results provided by the National Statistical Office. Compiled by UNECA African Centre for Statistics and UN Women.,SG_GEN_LOCGELS,404,F,PT,2025-04-17T00:00:00,2018,,33.54317
2000,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",3.57
2001,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",3.57
2002,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",3.57
2003,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.14
2004,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.14
2005,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.14
2006,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.14
2007,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.31
2008,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,404,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.25
