Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,1.653650371
2005,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,1.612344388
2006,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.978332079
2007,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.729133063
2008,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.996127362
2009,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.252784565
2010,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.880959969
2011,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.080772545
2012,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.51170175
2013,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.639599895
2014,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.829660227
2015,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.928438533
2016,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.416009918
2017,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.716819881
2018,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.464282523
2019,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.981701098
2020,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.602752045
2021,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.019042614
2022,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.848434414
2023,A,0,IMF,FB_ATM_TOTL,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.596918563
2004,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.775032029
2005,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.655626051
2006,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.741803275
2007,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.565542022
2008,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.122620397
2009,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.404258905
2010,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.697437459
2011,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.966626617
2012,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.253207812
2013,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.368253259
2014,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.590078491
2015,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.720358625
2016,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.516307015
2017,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.365748323
2018,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.171446998
2019,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.969493445
2020,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.857313806
2021,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.587489457
2022,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.50609722
2023,A,0,IMF,FB_CBK_BRCH,404,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.480816727
