Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2004,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,52.0
2005,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,62.0
2006,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,65.0
2007,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,77.0
2008,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,83.0
2009,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,84.5
2010,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,89.0
2011,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,89.1
2012,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,89.08
2013,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,89.08
2014,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,89.08
2015,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,92.0
2016,A,0,Communications Authority  of Kenya,IT_MOB_2GNTWK,404,PT,2025-03-06T00:00:00,2023,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,94.4
